trip_distance,rate_code,fare_amount,extra,service_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,Delhi_location_id,dropoff_location_id,year,month,day,day_of_week,hour_of_day,trip_duration,model,passenger_count,Delhi_longitude,Delhi_latitude,dropoff_longitude,dropoff_latitude,Pickup_city,Pickup_State,Time_Category,time_taken ,,
15.7,3,3690,23,91,53,138.45,97.21,4093,132,146,2020,10,20,Friday,5:43 PM,81,MINI,1,-0.004093,0.0335,0.016852,0.01798,Delhi,Delhi,Evening,06:00.0,,
7.3,5,2091,44,87,646.98,324.18,33.63,3227,186,69,2023,2,24,Friday,3:33 PM,275,SUV,1,-74.429332,40.500046,-74.429332,40.500046,Mumbai,Mah?r?shtra,AfterNoon,24:00.0,,
14.87,1,3321,15,67,685.52,256.98,62.34,4408,138,89,2021,9,11,Monday,7:32 AM,105,AUTO,2,-73.99872,40.624708,-73.99872,40.624708,Kolk?ta,West Bengal,Morning,37:00.0,,
2.9,9,1804,9,84,53,299.68,3.63,2253,90,162,2023,6,7,Wednesday,7:16 AM,276,MINI,1,-73.786918,40.639905,-73.932597,40.654143,Bangalore,Karn?taka,Morning,27:05.0,,
8.96,4,2624,14,79,53,358.54,13.64,3142,138,186,2023,4,20,Thrusday,2:32 AM,73,SEDAN,1,-73.788539,40.641357,-73.935006,40.752088,Chennai,Tamil N?du,Late_Night,54:43.0,,
4.56,2,1845,37,85,578.1,295.25,43.59,2884,163,261,2022,2,7,Tuesday,2:53 PM,176,MINI,1,-73.788145,40.641979,-73.880388,40.748567,Hyder?b?d,Telang?na,AfterNoon,00:00.0,,
14.8,2,3444,0,68,7531.92,112.15,61.2,11217,132,29,2018,12,10,Sunday,10:15 AM,214,SUV,4,-73.78555,40.64205,-73.980793,40.749187,Pune,Mah?r?shtra,Morning,55:41.0,,
8.6,10,2132,23,129,533.82,160.75,19.56,2998,233,138,2023,11,30,Thrusday,12:17 AM,81,SUV,2,-73.789652,40.643633,-73.987165,40.768555,Ahmedabad,Gujar?t,Late_Night,32:21.0,,
17.53,3,5576,16,88,1656.4,43.76,41.37,7422,234,1,2018,2,16,Thrusday,12:15 AM,118,SUV,2,-73.79025,40.643705,-74.00227,40.734542,S?rat,Gujar?t,Late_Night,13:00.0,,
7.26,9,1927,34,123,398.52,91.55,84.94,2659,138,233,2022,11,18,Saturday,10:15 PM,179,MINI,1,-73.78701019,40.64413834,-73.81063843,40.69221878,Lucknow,Uttar Pradesh,Night,06:11.0,,
7.56,8,2419,28,89,591.22,148.43,55.36,3331,88,145,2023,3,27,Monday,1:19 PM,275,SUV,5,-73.782215,40.644272,-73.782217,40.64427,Jaipur,R?jasth?n,AfterNoon,56:00.0,,
18.6,3,5617,18,121,1717.9,245.81,58.77,7778,163,1,2020,11,5,Sunday,8:19 AM,34,SUV,5,-73.782235,40.644691,-73.973344,40.738062,Kanpur,Uttar Pradesh,Morning,30:23.0,,
15.7,2,3936,44,139,53,202.74,47.26,4422,132,89,2022,5,8,Monday,4:07 PM,21,MINI,2,-73.781915,40.644812,-73.7191,40.631005,Mirz?pur,Uttar Pradesh,Evening,49:00.0,,
7.5,3,1927,12,83,55353.2,21.28,72.43,57469,170,7,2018,3,5,Sunday,6:37 PM,71,MINI,1,-73.782133,40.644869,-73.924678,40.69249,N?gpur,Mah?r?shtra,Evening,45:07.0,,
4.4,4,1804,42,109,373.92,132.41,13.95,2475,151,161,2019,6,6,Tuesday,8:08 PM,17,SUV,1,-73.781127,40.645007,-73.981802,40.762515,Gh?zi?b?d,Uttar Pradesh,Night,32:00.0,,
0.04,1,3936,31,85,795.4,287.9,61.78,5197,264,262,2020,3,28,Tuesday,3:42 PM,106,MINI,1,-73.776747,40.645265,-73.813803,40.709035,Supaul,Bih?r,AfterNoon,22:00.0,,
6.12,5,1763,29,108,221.4,200.61,3.69,2326,231,140,2019,6,5,Monday,11:30 AM,86,SUV,1,-73.776721,40.645324,-73.983183,40.748877,Vadodara,Gujar?t,Morning,57:15.0,,
15.38,5,3690,43,142,574,38.34,42.56,4530,138,143,2022,11,16,Thrusday,7:06 PM,21,SUV,2,-73.77672,40.645412,-73.978832,40.774932,R?jkot,Gujar?t,Evening,39:48.0,,
9.7,10,2829,49,132,153538.6,391.17,39.82,980,48,138,2022,11,28,Tuesday,5:00 PM,220,SUV,5,-73.776713,40.645447,-73.980527,40.770763,Vish?khapatnam,Andhra Pradesh,Evening,10:00.0,,
4.4,3,2419,6,120,2535,374.98,46.46,5501,144,162,2018,5,26,Friday,12:33 PM,123,SUV,1,-73.776477,40.64629,-73.776477,40.64629,Indore,Madhya Pradesh,AfterNoon,09:06.0,,
11.2,6,3731,8,96,947.1,311.86,36.04,5130,138,249,2018,5,3,Wednesday,4:22 PM,297,SUV,1,-73.789985,40.646382,-74.03497,40.611455,Th?ne,Mah?r?shtra,Evening,20:07.0,,
